DPTO,MPIO,CODIGO_DE_LA_ARL,AÑO_DE_INFORME,MES_DE_INFORME,ACTIVEC,RELA_DEP,RELA_INDEP,PRESUACCIDETRASUCE,MUERTES_REPOR_AT,NUEVAPENSIOINVA_R_AT,NUEVAPENSIOINVA_R_EL,INCAPERMAPARCIAR_AT,INCAPERMAPARCIAR_EL
Cundinamarca,UBAQUE,1423,2019,11,1523901,2,0,0,0,0,0,0,0
Boyacá,DUITAMA,1423,2019,11,1634001,5,0,0,0,0,0,0,0
Bolívar,SAN JUAN NEPOMUCENO,1423,2019,11,1552101,7,1,0,0,0,0,0,0
Antioquia,MEDELLÍN,1423,2019,11,4315002,5,0,0,0,0,0,0,0
Córdoba,SAN ANDRÉS SOTAVENTO,1423,2019,11,2012101,0,0,0,0,0,0,0,0
Córdoba,VALENCIA,1423,2019,11,1751201,39,0,0,0,0,0,0,0
Huila,GARZÓN,1423,2019,11,5453002,4,0,0,0,0,0,0,0
Santander,JESÚS MARÍA,1423,2019,11,1741101,0,0,0,0,0,0,0,0
Huila,GARZÓN,1423,2019,11,1523501,13,0,0,0,0,0,0,0
Antioquia,MARINILLA,1423,2019,11,3155102,61,0,0,0,0,0,0,0
Norte de Santander,CÚCUTA,1423,2019,11,2158901,60,0,0,0,0,0,0,0
Valle del Cauca,CALI,1423,2019,11,2011801,56,0,1,0,0,0,0,0
Atlántico,BARRANQUILLA,1423,2019,11,4272901,2,0,0,0,0,0,0,0
Antioquia,CAREPA,1423,2019,11,2672101,1,0,0,0,0,0,0,0
Nariño,PASTO,1423,2019,11,1741201,47,0,0,0,0,0,0,0
Santander,FLORIDABLANCA,1423,2019,11,2014002,20,0,0,0,0,0,0,0
Cundinamarca,CHOCONTÁ,1423,2019,11,3631001,34,0,0,0,0,0,0,0
Cundinamarca,COTA,1423,2019,11,5712201,26,0,0,0,0,0,0,0
Caquetá,SOLANO,1423,2019,11,1751201,33,9,0,0,0,0,0,0
Casanare,YOPAL,1423,2019,11,4641101,0,0,0,0,0,0,0,0
La Guajira,SAN JUAN DEL CESAR,1423,2019,11,3900001,0,0,0,0,0,0,0,0
Boyacá,VILLA DE LEYVA,1423,2019,11,1802101,4,0,0,0,0,0,0,0
Valle del Cauca,CALI,1423,2019,11,3272101,2,0,0,0,0,0,0,0
Antioquia,RIONEGRO,1423,2019,11,2011501,20,0,0,0,0,0,0,0
Cundinamarca,SIMIJACA,1423,2019,11,2521902,3,0,0,0,0,0,0,0
"Archipiélago de San Andrés, Providencia y Santa Catalina",SAN ANDRÉS,1423,2019,11,2527102,6,0,0,0,0,0,0,0
Meta,PUERTO LÓPEZ,1423,2019,11,1521101,4,0,0,0,0,0,0,0
Santander,GIRÓN,1423,2019,11,2501101,84,0,0,0,0,0,0,0
Santander,FLORIDABLANCA,1423,2019,11,2749901,1,1,0,0,0,0,0,0
Casanare,YOPAL,1423,2019,11,1713001,0,0,0,0,0,0,0,0
Meta,VILLAVICENCIO,1423,2019,11,1513201,106,0,0,0,0,0,0,0
"Archipiélago de San Andrés, Providencia y Santa Catalina",SAN ANDRÉS,1423,2019,11,5752401,6,0,0,0,0,0,0,0
Antioquia,ENVIGADO,1423,2019,11,2011501,18,0,0,0,0,0,0,0
Tolima,ALVARADO,1423,2019,11,2551301,5,0,0,0,0,0,0,0
Antioquia,SABANETA,1423,2019,11,1751201,0,1,0,0,0,0,0,0
Antioquia,MEDELLÍN,1423,2019,11,3193201,31,0,0,0,0,0,0,0
Córdoba,CERETÉ,1423,2019,11,3171001,18,0,0,0,0,0,0,0
Tolima,IBAGUÉ,1423,2019,11,2642501,66,0,0,0,0,0,0,0
Chocó,ISTMINA,1423,2019,11,5292401,19,0,0,0,0,0,0,0
Antioquia,OLAYA,1423,2019,11,3159201,0,0,0,0,0,0,0,0
Santander,SAN GIL,1423,2019,11,1522901,2,0,0,0,0,0,0,0
Córdoba,PLANETA RICA,1423,2019,11,1742101,0,7,0,0,0,0,0,0
Cundinamarca,TOCANCIPÁ,1423,2019,11,2749201,1,0,0,0,0,0,0,0
